Class,Precision,Recall,F1-Score,Support
BitTorrent,1.0000,1.0000,1.0000,752.0
Cridex,1.0000,1.0000,1.0000,1041.0
FTP,1.0000,0.9997,0.9998,3082.0
Facetime,1.0000,1.0000,1.0000,600.0
Geodo,0.9988,0.9994,0.9991,1737.0
Gmail,0.9988,1.0000,0.9994,863.0
Htbot,1.0000,0.9918,0.9959,366.0
Miuref,0.9992,0.9975,0.9983,1194.0
MySQL,0.9997,1.0000,0.9999,3449.0
Neris,0.7082,0.8262,0.7626,420.0
Nsis-ay,0.9259,0.9709,0.9479,103.0
Outlook,1.0000,0.9973,0.9987,752.0
Shifu,0.9943,1.0000,0.9972,175.0
Skype,0.9984,1.0000,0.9992,632.0
Tinba,0.9965,1.0000,0.9982,851.0
Virut,0.8783,0.7757,0.8238,642.0
Weibo,1.0000,1.0000,1.0000,268.0
WorldOfWarcraft,1.0000,1.0000,1.0000,458.0
Zeus,1.0000,1.0000,1.0000,929.0
accuracy,,,0.9874,
macro avg,0.9736,0.9768,0.9747,18314.0
weighted avg,0.9881,0.9874,0.9875,18314.0
